"","Donor(s)","Official Donors, Total","DAC Countries, Total","Non-DAC Countries, Total","Multilateral Agencies, Total","Private Donors, Total","Australia","Austria","Belgium","Canada","Czech Republic","Denmark","Finland","France","Germany","Greece","Hungary","Iceland","Ireland","Italy","Japan","Korea","Luxembourg","Netherlands","New Zealand","Norway","Poland","Portugal","Slovak Republic","Slovenia","Spain","Sweden","Switzerland","United Kingdom","United States","EU Institutions","Azerbaijan","Bulgaria","Croatia","Cyprus","Estonia","Israel","Kazakhstan","Kuwait","Latvia","Liechtenstein","Lithuania","Malta","Qatar","Romania","Russia","Saudi Arabia","Chinese Taipei","Thailand","Timor-Leste","Turkey","United Arab Emirates","Other donor countries","International Monetary Fund, Total","IMF (Concessional Trust Funds)","Regional Development Banks, Total","African Development Bank, Total","African Development Bank [AfDB]","African Development Fund [AfDF]","Asian Development Bank, Total","Asian Development Bank [AsDB]","Inter-American Development Bank, Total","Inter-American Development Bank [IDB]","Asian Infrastructure Investment Bank [AIIB]","Caribbean Development Bank [CarDB]","Council of Europe Development Bank [CEB]","European Bank for Reconstruction and Development [EBRD]","Islamic Development Bank [IsDB]","United Nations, Total","Food and Agriculture Organisation [FAO]","International Atomic Energy Agency [IAEA]","IFAD","International Labour Organisation [ILO]","UNAIDS","UNDP","UNECE","UNEP","UNFPA","UNHCR","UNICEF","UN Institute for Disarmament Research [UNIDIR]","UN Peacebuilding Fund [UNPBF]","UNRWA","UNTA","WFP","World Health Organisation [WHO]","World Tourism Organisation [UNWTO]","World Bank Group, Total","World Bank, Total","International Bank for Reconstruction and Development [IBRD]","International Development Association [IDA]","International Finance Corporation [IFC]","Other Multilateral, Total","Adaptation Fund","Arab Bank for Economic Development in Africa [BADEA]","Arab Fund (AFESD)","Center of Excellence in Finance [CEF]","Central Emergency Response Fund [CERF]","Climate Investment Funds [CIF]","Global Alliance for Vaccines and Immunization [GAVI]","Global Environment Facility [GEF]","Global Fund","Global Green Growth Institute [GGGI]","Green Climate Fund [GCF]","Montreal Protocol","Nordic Development Fund [NDF]","OPEC Fund for International Development [OPEC Fund]","OSCE","Other Multilaterals","Arcadia Fund","Arcus Foundation","BBVA Microfinance Foundation","Bernard van Leer Foundation","Bill & Melinda Gates Foundation","Carnegie Corporation of New York","Charity Projects Ltd (Comic Relief)","Children's Investment Fund Foundation","Citi Foundation","Conrad N. Hilton Foundation","David & Lucile Packard Foundation","Ford Foundation","Gatsby Charitable Foundation","Gordon and Betty Moore Foundation","Grameen Crédit Agricole Foundation","H&M Foundation","IKEA Foundation","Jacobs Foundation","John D. & Catherine T. MacArthur Foundation","La Caixa Banking Foundation","Laudes Foundation","LEGO Foundation","Margaret A. Cargill Foundation","MasterCard Foundation","MAVA Foundation","McKnight Foundation","MetLife Foundation","Michael & Susan Dell Foundation","Oak Foundation","Omidyar Network Fund, Inc.","Rockefeller Foundation","Wellcome Trust","William & Flora Hewlett Foundation","World Diabetes Foundation","Dutch Postcode Lottery","Norwegian Postcode Lottery","People's Postcode Lottery","Swedish Postcode Lottery","G7 Countries, Total","DAC-EU Countries, Total","United Postcode Lotteries, Total"
"Eritrea","","162.31","36.22","19.84","106.25","0.29",,"0.02",,"0.01",,"0.91","0.7","0.65","1.14","0.01",,,"1.53","0.15","9.86",,,"2.84",,"9.63","0.01",,,,"0.18","1.27","0.85","5.51","0.95","37.05",,,,,,"15.8",,"-0.17",,,,,,,,,,,,"0.53","3.68",,,,"6.32","6.32",,"6.32",,,,,,,,,,"17.53",,"0.38","3.73",,"0.35","7.1",,,"2.44","0.62","2.91",,,,,,,,"1.39","1.39",,"1.39",,"43.95",,"-0.19",,,,,"1.81","1.71","41.08",,,,,"-0.46",,,,,,,"0.29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.27","14.92",
"Eswatini","","91.14","30.77","0.69","59.68","3.79","0.35",,,"0.75",,"-0.67","0.19","0.16","-0.63",,,,"0.05","0.38","4.36","0.18","0.66",,,"1.61",,,,,,,"0.11","0.02","23.25","21.47",,,,,,,,"0.56",,,,,,,,,,"0.13",,,,,,,"-1.45","-1.45",,"-1.45",,,,,,,,,,"3.71",,,"-1.11",,"0.68","1.21",,,"1.25",,"1.05",,,,,"0.63",,,"-0.25","-0.25",,"-0.25",,"36.2",,"-0.53",,,,,,"0.8","36.6",,,,,"-0.67",,,,,,,"3.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28.29","0.16",
"Ethiopia","","3455.16","1856.83","33.47","1564.86","28.24","2.33","9.71","4.18","140.38","1.22","7.76","25.64","13.3","96.45","1.39","0.13","0.28","49.23","18.31","93.89","10.2","0.74","54.25",,"32.56","0.1",,"0.06","0.03","39.46","39.42","6.23","406.95","802.63","237.56",,,,,,"15.28",,"15.51",,,,,,,,,,,,"2.45","0.23",,"122.39","122.39","155.32","154.96","5.5","149.46",,,,,,,,,"0.36","88.74",,"0.72","13.37",,"1.6","17.11",,,"5.04","4.44","42.74",,,,,"3.72",,,"664.93","664.93",,"664.93",,"295.92",,"7.69",,,,,"19.87","5.48","256.69",,,,"2.38","3.81",,,,,,,"28.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1571.91","768.33",
"Fiji","","75.84","62.52","0.57","12.75","0.06","33.72",,,"0.08",,,"0.02","0.97","0.61",,,,,,"19.02","2.12",,,"3.63","0.01",,,,,,,,"0.53","1.81","6.23",,,,,,,,,,,,,,,,,,"0.02",,"0.55",,,,,,,,,,,,,,,,,,"3.25",,,,,"0.58","2.67",,,,,,,,,,,,,,,,,,"3.27",,,,,,,,"0.35","2.92",,,,,,,,,,,,"0.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"23.02","2.13",
"French Polynesia","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gabon","","106.27","83.75","0.03","22.49",,,,"-0.09","0.07",,,"0.02","58.13","-1.28",,,,,"0.11","24.77","0.25",,,,,,,,,"0.15",,"0.01","0.16","1.45","13.12",,,,,,,,"-0.01",,,,,,,,,,,,"0.01","0.03",,,,"-0.67","-0.2",,"-0.2",,,,,,,,,"-0.47","3.93",,"0.09",,,"0.48","0.85",,,"1.22","0.59","0.7",,,,,,,,,,,,,"6.11",,"1.65",,,,,,"2.29","2.17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83.41","57.2",
"Gambia","","121.1","33.13","1.42","86.56","3.13",,,"0.41","0.46","0.02","0.36","0.18","0.35","0.6","0.02",,,"0.05",,"17.22","0.11","0.12",,"0.04","0.13",,,,,"3.97","0.85",,"1.98","6.26","22.68",,,,"0.04","0.01","0.03",,"0.95",,,,,,,,,,"0.02",,"0.27","0.1",,"3.04","3.04","15.15","5.36",,"5.36",,,,,,,,,"9.79","8.48",,,"2.13",,"0.21","2.98",,,"1.31",,"1.48",,,,,"0.37",,,"11.44","11.44",,"11.44",,"25.76",,"2.18",,,,,"1.73","2.13","18.6",,,,,"1.12",,,,,,,"3.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.87","8.91",
"Georgia","","588.86","363.01","16.2","209.65",,,"1.52","0.05","0.03","3.89","2.48","4.69","6.21","82.04","1.7","0.03",,"0.36","0.18","6.48","0.05","0.02","3.19",,"10.01","6.19","0.3","0.48","0.12","0.13","18.62","6.39","3.43","204.42","154.69",,,,"0.04","0.53","2.33",,"6.43","0.31",,"0.28",,,"0.41",,,,"0.01",,"5.85","0",,"-21.51","-21.51",,,,,,,,,,,,,,"12.34",,"0.37","6.62",,"0.09","1.71",,,"0.72","1.52","0.85",,,,,"0.46",,,"53.28","53.28",,"53.28",,"10.85",,,,,,,"0.6","1.37","8.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"302.79","135.63",
"Ghana","","1697.22","897.65","3.33","796.24","19.08","0.52","2.27","30.07","114.2","0.15","101.17","0.31","33.8","58.16","0.06","0.01",,"1.33","1.19","70","6.73","0.22","72.87","0.16","3.64","0.16",,,,"14.28","0.32","13.74","166.58","205.71","105.56",,,,"0.01",,"0.63",,"2.15",,,,,,"0.01",,,,,,"0.21","0.32",,"124.35","124.35","134.34","134.19",,"134.19",,,,,,,,,"0.15","31.74",,"0.62","8.26",,"0.8","6.69",,,"4.14","0.78","9.66",,,,,"0.79",,,"318.66","318.66",,"318.66",,"81.59",,"0.66",,,,,"6.89","7.02","57.32",,,,"7.97","1.73",,,,,,,"19.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"649.64","482.95",
"Gibraltar","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grenada","","33.85","6.65","-1.89","29.08",,"0.43","0.03",,"0.09",,,,"0.11","0.07",,,,,,"5.84",,,,,,,,,,"0.06",,,,"0.02","12.17",,,,,,"0.04",,"-1.95",,,,,,,,,,,,,"0.02",,"6.42","6.42","5.88",,,,,,,,,"5.88",,,,"-0.17",,,"-0.33",,,"0.16",,,,,,,,,,,,,"5.25","5.25",,"5.25",,"-0.47",,,,,,,,,,,,,,"-0.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6.13","0.27",
"Guatemala","","402.06","349.81","0.24","52.01","3.62","0.46","6.01","3.74","10.27","0.02","2.58","0.99","3.3","13.46",,,,"1.69","4.02","41.24","5.45","0.5","20.94","0.27","9.38","0.01","0.12",,,"92.85","27.95","3.83","0.23","100.5","37.43",,,,"0.01",,"0.2",,,,,,,,,,,,"0.01",,"0.02",,,,,,,,,,,,,,,,,,"6.8",,"0.07","0.56",,"0.63","0.77",,,"1.54",,"0.89",,,,,"2.34",,,,,,,,"7.78",,,,,,,,"1.53","7.25",,,,,"-1",,,,,,,"3.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"173.02","178.41",
"Guinea","","220.97","91.89","-1.7","130.78","0.2",,"0.15","1.05","2.22","0.05","0.01",,"36.02","13.29",,,,"0.68","0.37","10.8","0.16","0.35",,,,"0.03","0.04",,,"2.07","1","1.77",,"21.83","72.36",,,,"0.17",,"0.06",,"-2",,,,,,,,,,,,"0.07",,,"-10.24","-10.24","29.72","17.06","5.69","11.37",,,,,,,,,"12.66","24.21",,,"0.51",,"0.56","5.34",,,"2.37","0.77","7.22",,"5.38",,,"2.06",,,"0.06","0.06",,"0.06",,"14.67",,"-5.98",,,,,"3.77","3.18","15.57",,,,,"-1.87",,,,,,,"0.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84.53","55.11",
"Guinea-Bissau","","129","54.31","0.33","74.36","0.07","0.16",,"0.73","0.49",,"0.74","0.79","1.84","1.34","0.01",,"0.53",,"0.27","16.11","0.12","0.05",,,,,"15.72",,,"8.29",,"0.53","0.07","6.52","16.57",,,,,,,,,,,,,,,,,,,,"0.33",,,"15.71","15.71","3.89","3.89",,"3.89",,,,,,,,,,"9.97",,,"0.7",,,"3.88",,,"1.49","0.08","2.61",,"1.21",,,"0",,,"8.14","8.14",,"8.14",,"20.08",,,,,,,"0.76","2.74","16.58",,,,,,,,,,,,"0.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.64","29.85",
"Guyana","","106.41","64.02","0.02","42.37","0.21","0.16",,"0.08","3.73",,,"0.2",,"0.73",,,,,,"6.54",,"0.03",,"0.05","29.23",,,,,"0.01",,,"1.62","21.64","29.25",,,,"0.02",,,,,,,,,,,,,,,,,,,"-1.41","-1.41","3.25",,,,,,,,,"3.25",,,,"2.52",,,"0.18",,"0.65","0.9",,,,,"0.79",,,,,,,,"2.87","2.87",,"2.87",,"5.88",,,,,,,"0.58","0.97","5.27",,,,,"-0.94",,,,,,,"0.21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34.26","2.67",
"Haiti","","2889.84","2303.02","18.35","568.47","11.64","18.4","8.93","25.18","458.87","2.77","24.98","12.18","144.09","43.57","0.72","0.04","0.81","6.85","63.07","71.98","5.54","3.82","19.15","1.44","66.78","0.15","0.11",,"0.42","155.77","40.31","23.02","26.17","1077.9","284.27",,,,"0.13","0.68","5.19",,,"0.12",,"0.02",,,"0.07",,,,,,"7.51","4.63",,"124.07","124.07","6.32",,,,,,,,,"6.32",,,,"32.36",,"0.81","6.04",,"0.96","10.54",,,"6.61",,"2.32",,"2.33",,,"2.75",,,"105.27","105.27",,"105.27",,"16.18",,,,,,,,"2.57","11.36",,,,,"2.25",,,,,,,"11.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1885.65","578.28",
"Honduras","","470.5","278.49","0.77","191.24","2.39","0.03","0.03","2.5","17.58","0.03","3.42","1.26","1.4","14.05","0.01",,,"1.97","0.86","16.04","6.45","0.1","0.29","0.12","1.49",,,,,"69.09","9.33","6.34","25.26","100.84","58.47",,,,,,"0.06",,"0.62",,,,,,,,,,,,"0.02","0.07",,"-1.55","-1.55",,,,,,,,,,,,,,"3.9",,"0.3","-2.23",,"0.66","2.02",,,"1.94",,"0.94",,,,,"0.27",,,"108.75","108.75",,"108.75",,"21.67","4.19",,,,,,"7.16","1.86","8.7",,,,"0.83","-1.07",,,,,,,"2.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"176.03","129.6",
"Hong Kong (China)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"India","","2831.34","2225.19","1.33","604.82","139.76","16.45","2.15","7.17","7.91","0.18","10.14","6.12","2.83","396.93","0.1","0.17",,"4.26","11.49","981.14","1.07","3.7","2.48","0.36","23.99","0.19","0.39",,,"11.41","11","10.42","650.34","62.8","94.26",,,,,,"0.59",,,,,,,,"0.07",,,,"0.02",,"0.48","0.17",,,,"2.27",,,,,,,,,,,,"2.27","84.62",,,"5.5",,"1.1","16.53",,,"13.3","3.05","42.16",,,,,"2.98",,,"231.59","231.59",,"231.59",,"192.08",,,,,,,"-5.59","38.51","156.72",,,"3.41",,"-0.97",,,,,,,"139.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2113.44","1121.05",
"Indonesia","","1323.76","985.62","-3.77","341.91","8.94","356.2","0.85","-5.8","10.86","0.17","12.46","1.8","262.49","-12.6","0.07","0.04",,"0.01","-14.41","61.14","24.44","0.49","34.36","6.54","41.94","0.01",,,,"-10.59","5.94","5","26.85","177.36","105.45",,,,"0.11",,,,"-5.54",,,,,,"0.01",,,,"0.42",,"0.77","0.46",,,,"9.07",,,,,,,,,,,,"9.07","28.32",,"0.38","6.85",,"0.97","5.52",,,"6.27","0.96","6.91",,,,,"0.46",,,"110.02","110.02",,"110.02",,"89.06",,,,,,,,"6.25","83.22",,,"0.09","-0.5",,,,,,,,"8.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"511.69","302.14",
"Iran","","112.44","73.6","16.88","21.96",,"0.28","5.07","0.09","0.09","0.32","0.04","0.03","14.17","45.76","0.65","0.53",,,"0.13","-7.13","0.35",,"3.43",,"7.34","0.05",,,,"0.2","0.47","0.17",,"1.56","3.44",,,,"0.01",,"0.18",,,,,,,,"0.06",,,,"0.01",,"16.62",,,,,"-0.56",,,,,,,,,,,,"-0.56","9.21",,"0.66",,,"0.15","0.77",,,"1.47","3.47","1.39",,,,,"1.3",,,,,,,,"9.87",,,,,,,,"1.65","8.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54.58","70.94",
"Iraq","","2178.33","1994.25","41.57","142.51",,"52.22","0.48","0.43","6.32","0.36","33.2","3.69","9.58","36.85","0.62","0.04",,"0.99","11.02","144.44","11.88","0.36","4.31","0.36","7.7","0.18",,,"0.03","0.39","24.64","3.57","30.98","1609.61","54.1",,,,,,"0.02",,"1.75",,,,,,"0.11",,,,,,"39.31","0.38",,,,"0.41",,,,,,,,,,,,"0.41","17.85",,"0.63","0.3",,,"0.97",,,"2.24","10.84","2.95",,,,,"-0.08",,,"59.76","59.76",,"59.76",,"10.39",,,,,,,,,"10.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1848.8","158.15",
"Israel","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jamaica","","141.1","-1.56","-2.02","144.68","-0.01","0.37","0.1","4.28","4.08","0.58",,"0.02","-0.43","-6.2",,,,,"-0.27","-2.12","0.11",,"-2.94","0.1","0.12",,"0.01",,,"0.51",,,"3.92","-3.8","106.43",,,,,,"0.01",,"-2.06",,,,,,,,,,,,,"0.03",,,,"13.35",,,,,,,,,"13.35",,,,"2.33",,"0.3",,,"0.43","0.79",,,,,"0.81",,,,,,,,,,,,,"22.57",,,,,,,,"0.78","11.69",,,,"-0.18","10.28",,,,,,,"-0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-4.82","-0.42",
"Jordan","","954.75","411.57","106.82","436.36",,"1.14","0.09","-0.2","7.05","0.06","5.27","0.29","6.16","39.4","2.55","0.01","0.13","0.04","3.46","-50.89","11.53",,"1.03",,"0.37","0.06",,,,"9.22","0.16","3.6","2.64","368.4","129.88",,,,,,"35.46",,"73.32",,,,,,"0.24",,,,"0.03",,"1.75","-3.98",,,,"12.38",,,,,,,,,,,,"12.38","152.36",,"0.8","-1.38",,"0.06","1.27",,,"0.75","17.13","0.79",,,"132.94",,,,,"-2.55","-2.55",,"-2.55",,"144.3",,,"134.29",,,,,"6.5","1.13",,,"0.35",,"2.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"376.22","70.24",
"Kazakhstan","","211.99","100.86","64.33","46.8",,,"0.31",,"0.05","0.88","0.65","0.07","4.08","13.57","0.43","0.03",,,,"-1.82","3.76","0.06","0.43",,"4.25","2.17",,"0.03",,"0.11","0.93","0.01","0.34","70.52","17.39",,,,"0.01",,"1.07",,"-0.79",,,"0.01",,,"0.01",,,,"0.01",,"54.12","9.89",,,,"-0.7",,,,,,,,,,,,"-0.7","4.13",,"0.46",,,"0.51","0.83",,,"0.62","0.46","1.25",,,,,,,,,,,,,"25.98",,,,,,,,"4.57","18.93",,,,,,"2.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86.74","24.09",
"Kenya","","1631.26","1156.81","3.46","470.99","30.71","7.3","1.52","7.28","25.93","0.35","64.64","25.76","123.35","79.82","0.39","0.08",,"13.36","6.69","36.72","2.79","0.22","17.55","0.41","13.37","0.22",,"1.14","0.12","8.31","47.69","4.57","105.23","562","101.64",,,,"0.03",,"0.73",,"0.13",,,,,,"0.04",,,,"0.03",,"0.43","2.07",,"-25.51","-25.51","95.24","94.75",,"94.75",,,,,,,,,"0.49","47.61",,"0.6","10.07",,"0.82","8.73",,,"4.79","4.58","13.49",,"0.08",,,"4.45",,,"132.78","132.78",,"132.78",,"119.23",,"4.86",,,,,"34.46","6.61","65.63",,,,"1.95","5.72",,,,,,,"30.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"939.74","503.72",
"Kiribati","","23.77","21.25","0.11","2.41",,"14.53",,,,,,,,"0.1",,,,,,"3.47","0.21",,,"2.88",,,,,,,,,"0.06",,"0.79",,,,,,,,,,,,,,,,,,,,"0.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.62",,,,,,,"0.03","1.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.63","0.16",
"Korea","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kosovo","","527.52","191.89","23.04","312.59",,,"16.74",,,"3.52","4.74","3.27","1.73","30.58","0.03","0.46",,"0.1","1.99","1.08",,"9.16","3.63",,"24.24",,,"0.04","0.92","0.07","18.76","52.71","9.49","8.63","279.32",,,,,"0.27",,,,"0.05",,"0.01",,,,,,,,,"22.13","0.58",,,,"0.49",,,,,,,,,,,,"0.49","2.55",,,,,"0.08","0.85",,,,,"1.62",,,,,,,,,,,,,"30.23",,,,,,,,,"1.95",,,,,,"28.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53.5","105.23",
"Kuwait","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kyrgyzstan","","372.04","161.11","82.43","128.5","0.7","0.92","1.11","0.79","1.98","0.88","1.13","2.21","1.52","25.25","0.07","0.01",,"0.44",,"23.16","1.83","0.13","0.55","0.07","6.32","0.24",,"0.1","0.02","0.88","9.27","17.63","7.31","57.29","24.35",,,,"0.04",,"0.44",,"-1.89","0.01",,,,,,,,,"0.01",,"83.82","0",,"12.35","12.35","11.02",,,,,,,,,,,,"11.02","16.53",,"0.15","1.11",,,"5.72",,,"1.06","0.23","3.08",,"0.31",,,"4.87",,,"44.53","44.53",,"44.53",,"19.72",,,,,,,"1.81","2.21","8.52",,,,"-0.13","-0.71","8.02",,,,,,"0.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116.51","51.91",
"Lao People's Democratic Republic","","389.21","286.17","22.09","80.95","0.43","32.68","0.88","1.14","0.58","0.01","1.06","6.52","14.98","24.8",,"0.23",,"1.22","0.03","121.45","27.75","12.35","0.07","2.62","2.62","0.03",,,,,"5.9","16.37","0.06","12.82","15.95",,,,,,"0.01",,,,,,,,,,,,"21.9",,,"0.18",,"-5.53","-5.53",,,,,,,,,,,,,,"13.71",,,"1.4",,"0.33","5.99",,,"1.63",,"1.98",,,,,"2.38",,,"36.66","36.66",,"36.66",,"20.16",,,,,,,"3.38","2.35","7.1",,,,"3.69","3.64",,,,,,,"0.43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"174.72","69.28",
"Lebanon","","445.09","263.43","56.94","124.72",,"1.6","0.08","3.99","5.28","0.08","2.61","0.63","59.69","28.05","1.12","0.01",,"1.87","23.87","3.15","1.82","0.18","1.03","0.63","9.26","0.02",,,,"23.39","0.9","6.41","3.96","83.8","53.36",,,,"0.33",,"3.72",,"19.19",,,,,,"0.13",,,,"0.01",,"26.82","6.74",,,,"-5.69",,,,,,,,,,,,"-5.69","80.76",,"0.73","-0.96",,,"2.39",,,"0.64","6.24","0.75",,,"70.97",,,,,,,,,,"-3.71",,,"-4.18",,,,,"1",,,,,,"-0.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"207.8","151.48",
"Lesotho","","256.05","93.81","2.97","159.28","0.2","0.63",,,"0.41","0.01","0.32","0.08","-1.44","4.97",,,,"15.71",,"8.84","0.14",,,,"1.1",,,,,,"0.36","0.63","4.82","57.23","74.29",,,,"0.28",,"0.01",,"2.62",,,,,,,,,,"0.05",,"0.01",,,"4.42","4.42","10.36","10.36",,"10.36",,,,,,,,,,"9.18",,,"1.76",,"0.72","2.19",,,"1.69",,"1.34",,,,,"1.48",,,"34.13","34.13",,"34.13",,"26.89",,"2.73",,,,,"0.85","1.02","21.79",,,,,"0.5",,,,,,,"0.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"74.83","24.83",
"Liberia","","1416.11","698.96","1.52","715.63","2.61","0.26","7.85","0.13","1.1","0.33","9.87","0.67","232.04","50.14","0.01",,"0.35","10.6","1.94","134.31","0.04","0.41","40.01",,"22.84",,,,,"1.83","26.79","4.71","25.58","127.15","90.92",,,,,,"0.04",,,,,,,,,,,,,,"0.03","1.45",,"539.66","539.66","2.62","2.32",,"2.32",,,,,,,,,"0.3","16.42",,,"-10.25",,"0.33","8.74",,,"2.5","1.09","5.35",,"6.41",,,"2.25",,,"41.79","41.79",,"41.79",,"24.22",,,,,,,"1.88","1.67","20.67",,,,,,,,,,,,"2.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"572.26","408.2",
"Libya","","7.61","17.4","1.02","-10.81",,,"0.09",,,,,,"3.8","3.52","0.43","0.01",,"0.01","0.53","0.13","0.24",,"0.06",,,"0.02",,,,"0.23",,"0.15","1.58","6.6","1.06",,,,,,,,,,,,,,"0.01",,,,,,"1.01",,,,,"0.12",,,,,,,,,,,,"0.12","1.24",,"0.53",,,,"0.23",,,,"0.48",,,,,,,,,,,,,,"-13.23",,,"-13.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16.16","10.28",
"Macau (China)","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madagascar","","477.31","216.56","9.18","251.57","1.97","0.07","0.23","2.13","1.91",,"0.05","0.3","84.02","13.14","0.08",,,,"3.39","9.62","0.51","0.28",,,"12.96",,,,"0.05","0.34","0.95","7.73","-0.29","79.09","40.09",,,,,,"0.02",,"8.96",,,,,,,,,,"0.12",,"0.14","-0.06",,"-1.73","-1.73","13.95","13.84",,"13.84",,,,,,,,,"0.11","32.5",,"0.27","7.65",,"0.56","3.97",,,"3.76",,"12.8",,,,,"3.49",,,"79.18","79.18",,"79.18",,"87.58",,"-0.29",,,,,"9.38","4.95","61.64",,,,,"11.9",,,,,,,"1.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"190.88","104.67",
"Malawi","","1016.85","511.75","-0.71","505.81","12.73","3.94","0.09","12.04","16.54","0.05","6.45","1.69","-1","41.93","0.02",,"2.63","20.58","2.3","69.46","0.39","0.31","0.02","0.1","64.71","0.05",,,"0.03","0.63","2.47","0.16","148.03","118.13","208.33",,,,"0.17",,"0.04",,"-1",,,,,,,,,,"0.01",,"0.06","0",,"21.18","21.18","43.22","43.05","1.63","41.42",,,,,,,,,"0.17","32.85",,"0.3","3.75",,"0.87","8.59",,,"4.33","0.75","9.85",,,,,"4.41",,,"131.52","131.52",,"131.52",,"68.71",,"4.34",,,,,"8.21","2.46","49.82",,,,"-0.24","4.12",,,,,,,"12.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"395.39","235.69",
